Sven ; parler ; Toi ! J'ai appelé l'armée ! Je vengerai tous ceux que tu as tué !,Je ne me laisserai pas faire !,,
,Guerrier +5 ; combat contre l'armée ; continuer ligne 5 si victoire,,
,,,
,,,
Sven ; parler ; Tu es fort !! mais nous ne te laisserons pas détruire ce que nous avons fait !,Je ne vais pas tout détruire ! Je vais tout améliorer !,Cet argent va te convaincre que je dois continuer,
,Barde +3 ; continuer ligne 9,Marchand +1 ; continuer ligne 13,
,,,
,,,
Sven ; parler ; réfléchi avec l'armée Très bien ! Nous t'aiderons !,,,
Fin partie 3 ; Continuer module 12-1,,,
,,,
,,,
Sven ; parler ; Tu ne vaut rien !! meurt !,,,
Combat contre l'armée et Sven ; continuer module 12-1 ligne 13,,,
