Astrid ; parler ; Tiens tiens ; notre poule aux œufs d'or ! Que me veux tu ?,Je serai le jarl de la richesse du peuple ! J'ai besoin de ton aide !,Ma lame nous guidera dans la richesse ! Viens avec nous !,Nul besoin de richesse ; mon humble charisme fera l'affaire
,Marchand +2 ; continuer ligne 5,Guerrier +1 ; continuer ligne 13,Barde + 3 ; continuer ligne 17
,,,
,,,
Astrid ; parler ; Continuer sur cette voie là ne te mènera nulle part hormis à ta déchéance.,Tu ne sers donc à rien si tu refuses.,J'y arriverai quoiqu'il arrive ! Prends ! donne de l'argent,
,"Guerrier +2 ; Combat contre astrid, continuer module 5",Marchand +4 ; continuer ligne 9,
,,,
,,,
Astrid ; parler ; Qu'il en soit ainsi ! Je t'aiderai.,,,
Fin partie 2 ; continuer module 8,,,
,,,
,,,
Astrid ; parler ; Ta force et ta jeunesse pourront changer notre identité ; je te suivrai.,,,
Fin partie 2 ; continuer module 8,,,
,,,
,,,
Astrid ; parler ; Il te faudra plus que des belles paroles pour nous guider !,Tu tâteras de ma hache et verras que j'ai les qualités requises !,Mes paroles seront suffisamment acérées pour convaincre !,
,"Guerrier +1 ; combat contre astrid, fin partie 2, continuer module 8",Barde +2 ; continuer ligne 21,
,,,
,,,
"Astrid ; parler, ; Très bien, voyons ce que cela donne.",,,
Fin partie 2 ; continuer module 8,,,
